,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
75,20170705,I888,476.0,474.5,486.0,472.0,2675890.0,9.474225574419279,61.9719310399663,137.9609866947008,50.68095438765252,6.130068011912098
76,20170705,J888,1385.5,1378.0,1405.5,1369.5,204652.0,60.88840512143702,82.11698375601155,120.72269367643017,89.39249556089672,6.130068011912098
77,20170705,RB888,2532.0,2482.0,2586.0,2481.0,8665272.0,72.95257733132394,67.73098653720794,178.22549560287726,59.73429314998021,6.130068011912098
78,20170706,I888,477.5,471.5,479.0,463.5,2371124.0,9.56737510527131,62.37160409618554,107.56761296825155,34.986972980073375,4.27147969954798
79,20170706,J888,1396.5,1385.0,1400.5,1364.0,204272.0,61.831018164682746,82.61622611701944,113.21828159678931,85.29519510709174,4.27147969954798
80,20170706,RB888,2529.0,2512.0,2535.0,2457.0,7893368.0,77.11066234302461,67.4823397617989,145.7522613142498,51.466493668622725,4.27147969954798
81,20170707,I888,488.0,476.0,490.5,471.5,2380090.0,10.279293689818871,65.0328336349786,133.45635546922423,43.497986946666714,4.287003139597843
82,20170707,J888,1411.5,1394.0,1419.0,1380.5,171324.0,62.91790492237419,83.27488652827822,115.17752400517955,86.35648505537532,4.287003139597843
83,20170707,RB888,2540.0,2533.0,2544.0,2465.0,7705736.0,80.24064012232657,67.92892426095673,136.64196140976324,52.45302220423357,4.287003139597843
84,20170710,I888,486.5,487.0,492.0,481.5,2278746.0,10.607084724061508,64.36015301569819,132.54876112717616,44.51083940290515,3.4427073279904494
85,20170710,J888,1444.0,1421.0,1450.0,1408.5,229072.0,65.37704971757671,84.58407575512959,123.55347208341665,87.91838572731551,3.4427073279904494
86,20170710,RB888,2554.0,2547.0,2591.0,2517.0,6567710.0,82.75881819505821,68.49852926194278,141.53339109258667,57.2984353828503,3.4427073279904494
87,20170711,I888,495.0,485.5,504.5,484.0,2490714.0,11.357224318249223,66.39764928175697,145.2800714126312,52.15153236762612,6.964878154400778
88,20170711,J888,1488.0,1444.0,1498.0,1435.5,189056.0,69.73374227580462,86.107137973357,134.98173977342628,89.84297068168115,6.964878154400778
89,20170711,RB888,2677.0,2550.0,2709.0,2541.0,7074976.0,92.69762896164866,72.87679055362695,165.01796745669665,66.46910238069492,6.964878154400778
90,20170712,I888,495.0,495.5,505.5,490.0,2388802.0,11.81151963806883,66.39764928175697,136.2036845373631,52.708413063771665,6.918086264438738
91,20170712,J888,1464.5,1479.0,1495.0,1451.0,186914.0,70.60978100265584,81.65013010133852,122.63394750160717,89.84297068168117,6.918086264438738
92,20170712,RB888,2687.0,2677.0,2727.0,2665.0,5648724.0,100.1175028448024,73.19017894593082,163.52973267866878,67.60361133997944,6.918086264438738
93,20170713,I888,497.5,496.5,500.5,487.5,2009448.0,12.213869138657344,66.99160355879982,119.24429405520193,48.102042395830985,10.592781528370676
94,20170713,J888,1483.5,1468.0,1498.5,1454.0,184752.0,71.87604040277051,82.41157787708293,118.16649923847177,89.97601814268018,10.592781528370676
95,20170713,RB888,2769.0,2692.0,2772.0,2672.0,6170360.0,110.79285131546521,75.58330621111978,160.20248051145938,70.29000148149271,10.592781528370676
96,20170714,I888,487.5,495.5,497.0,478.5,2368892.0,11.64674191389065,62.42566778140332,89.06862982515666,32.69826101239887,3.768711819160999
97,20170714,J888,1453.0,1483.0,1484.0,1435.5,216930.0,69.7768775704078,77.09877038221296,100.90291377687366,76.88430264624976,3.768711819160999
98,20170714,RB888,2663.0,2770.0,2770.0,2640.0,8422600.0,110.00752894219477,67.52320994239864,128.7536870535556,60.19245847612951,3.768711819160999
99,20170717,I888,501.0,488.5,507.5,487.5,2309482.0,12.074191439929336,65.69132362336423,110.75802201209169,40.42570232339684,4.0490400889618385
100,20170717,J888,1519.0,1454.5,1523.0,1453.0,202528.0,72.245056641259,79.9869051649037,112.57581884350981,79.99150028443758,4.0490400889618385
